isoDateTime,timestamp,precinctsTransmitted,Leodegario-De-Guzman,Francisco-Domagoso,Maria-Leonor-Robredo,Norberto-Gonzales,Panfilo-Lacson,Faisal-Mangondato,Ferdinand-Marcos-Jr,Jose-Montemayor-Jr,Emmanuel-Pacquiao,Ernesto-Abella
2022-05-09T20:27:35.000+08:00,1652099255000,3456,2419,54755,409608,2272,26387,4428,958219,1669,79668,2943
2022-05-09T20:37:41.000+08:00,1652099861000,50582,41321,1063656,7288834,37224,505265,57952,15339878,26485,1262192,44677
2022-05-09T20:53:19.000+08:00,1652100799000,57669,47670,1188776,8311501,43133,567761,66320,17541799,30564,1486592,52380
2022-05-09T21:08:08.000+08:00,1652101688000,62262,51952,1268386,8979607,47179,607251,73536,18975119,33268,1639535,57463
2022-05-09T21:23:27.000+08:00,1652102607000,65808,55246,1330008,9492702,50310,636590,79398,20084651,35331,1766290,61386
2022-05-09T21:38:12.000+08:00,1652103492000,68741,58098,1378744,9921820,53025,660178,84642,20978083,37184,1879407,64957
2022-05-09T21:53:29.000+08:00,1652104409000,71242,60325,1418809,10282280,55219,679229,89368,21725982,38707,1974234,67980
2022-05-09T22:08:36.000+08:00,1652105316000,73586,62558,1453828,10613144,57404,696040,95335,22410199,40084,2066021,70794
2022-05-09T22:23:40.000+08:00,1652106220000,75748,64450,1485030,10915045,59501,710871,101650,23017285,41373,2152579,73388
2022-05-09T22:38:47.000+08:00,1652107127000,77707,66162,1512344,11183118,61258,723218,107495,23552103,42563,2233664,75758
2022-05-09T22:53:45.000+08:00,1652108025000,79662,67824,1538874,11447751,63037,733999,113933,24070851,43839,2316665,78208
2022-05-09T23:10:00.000+08:00,1652109000000,81534,69539,1563170,11691138,65025,744817,119526,24565511,44887,2401374,80677
2022-05-09T23:24:27.000+08:00,1652109867000,83340,71155,1586319,11925131,66629,754869,125999,25051855,45958,2484310,83019
2022-05-09T23:39:10.000+08:00,1652110750000,85018,72650,1607887,12145860,68229,763927,130257,25489420,46993,2564260,85399
2022-05-09T23:54:47.000+08:00,1652111687000,86651,74165,1628060,12361112,69821,773077,136699,25914360,47935,2644519,87597
2022-05-10T00:12:16.000+08:00,1652112736000,88166,75608,1647543,12554852,71266,781151,146690,26313353,48857,2713597,89647
2022-05-10T00:26:28.000+08:00,1652113588000,89566,76946,1664391,12736644,72604,788835,152166,26681414,49705,2781786,91521
2022-05-10T00:39:56.000+08:00,1652114396000,90962,78231,1682508,12913773,73951,796471,160192,27052601,50621,2853032,93368
2022-05-10T00:55:34.000+08:00,1652115334000,92213,79411,1697954,13076367,75221,803305,165779,27391261,51414,2913672,95059
2022-05-10T01:13:38.000+08:00,1652116418000,93392,80482,1713045,13233300,76389,809575,171760,27709641,52095,2971208,96699
2022-05-10T01:27:06.000+08:00,1652117226000,94568,81623,1729565,13384632,77550,816879,178851,28030970,52847,3030313,98173

