isoDateTime	precinctsTransmitted	Leodegario-De-Guzman	Francisco-Domagoso	Maria-Leonor-Robredo	Norberto-Gonzales	Panfilo-Lacson	Faisal-Mangondato	Ferdinand-Marcos-Jr	Jose-Montemayor-Jr	Emmanuel-Pacquiao	Ernesto-Abella
2022-05-09T12:27:35.000Z	3456	2419	54755	409608	2272	26387	4428	958219	1669	79668	2943
2022-05-09T12:37:41.000Z	50582	41321	1063656	7288834	37224	505265	57952	15339878	26485	1262192	44677
2022-05-09T12:53:19.000Z	57669	47670	1188776	8311501	43133	567761	66320	17541799	30564	1486592	52380
2022-05-09T13:08:08.000Z	62262	51952	1268386	8979607	47179	607251	73536	18975119	33268	1639535	57463
2022-05-09T13:23:27.000Z	65808	55246	1330008	9492702	50310	636590	79398	20084651	35331	1766290	61386
2022-05-09T13:38:12.000Z	68741	58098	1378744	9921820	53025	660178	84642	20978083	37184	1879407	64957
2022-05-09T13:53:29.000Z	71242	60325	1418809	10282280	55219	679229	89368	21725982	38707	1974234	67980
2022-05-09T14:08:36.000Z	73586	62558	1453828	10613144	57404	696040	95335	22410199	40084	2066021	70794
2022-05-09T14:23:40.000Z	75748	64450	1485030	10915045	59501	710871	101650	23017285	41373	2152579	73388
2022-05-09T14:38:47.000Z	77707	66162	1512344	11183118	61258	723218	107495	23552103	42563	2233664	75758
2022-05-09T14:53:45.000Z	79662	67824	1538874	11447751	63037	733999	113933	24070851	43839	2316665	78208
2022-05-09T15:10:00.000Z	81534	69539	1563170	11691138	65025	744817	119526	24565511	44887	2401374	80677
2022-05-09T15:24:27.000Z	83340	71155	1586319	11925131	66629	754869	125999	25051855	45958	2484310	83019
2022-05-09T15:39:10.000Z	85018	72650	1607887	12145860	68229	763927	130257	25489420	46993	2564260	85399
2022-05-09T15:54:47.000Z	86651	74165	1628060	12361112	69821	773077	136699	25914360	47935	2644519	87597
2022-05-09T16:12:16.000Z	88166	75608	1647543	12554852	71266	781151	146690	26313353	48857	2713597	89647
2022-05-09T16:26:28.000Z	89566	76946	1664391	12736644	72604	788835	152166	26681414	49705	2781786	91521
2022-05-09T16:39:56.000Z	90962	78231	1682508	12913773	73951	796471	160192	27052601	50621	2853032	93368
2022-05-09T16:55:34.000Z	92213	79411	1697954	13076367	75221	803305	165779	27391261	51414	2913672	95059
2022-05-09T17:13:38.000Z	93392	80482	1713045	13233300	76389	809575	171760	27709641	52095	2971208	96699
2022-05-09T17:27:06.000Z	94568	81623	1729565	13384632	77550	816879	178851	28030970	52847	3030313	98173
2022-05-09T18:04:08.000Z	96503	83422	1756548	13637697	79414	828347	194132	28564900	54068	3128664	100748
2022-05-09T18:22:03.000Z	97322	84184	1768070	13747361	80257	833317	198886	28795927	54529	3172012	101817
2022-05-09T18:35:36.000Z	97992	84881	1777431	13839638	80970	837586	203047	28980465	54989	3210382	102846
2022-05-09T19:06:51.000Z	99160	85992	1794789	13986496	82144	844620	213733	29319865	55796	3275855	104335
